f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,class
3.310147,11.009261,14.680671,17.158900,19.455204,20.511948,21.560814,22.320080,23.378837,26.658207,-1.184918,-0.897732,-0.433477,-0.123967,0.000000,0.099323,0.315252,0.783772,1.140606,8.639829,0.013272,0.087491,0.162980,0.265788,0.432055,0.645031,0.854386,1.066448,1.414929,6.863778,0.996514,0.999184,0.999609,0.999806,0.999901,0.999961,0.999988,0.999997,1.000000,1.000000,17.258397,16.537628,26.658207,7.293839,-0.026065,-0.025157,0.729001,8.639829,-7.655061,8.639829,1.046492,0.723161,-0.788022,0.685439,0.636877,6.863778,0.707839,0.995546,0.995351,0.509106,0.029369,0.015169,0.000912,14255.435751,14.383333,29.130939,28.644264,0.695249,10.000000,12.000000,1.000000,38.000000,3.166667,0.000842,0.000070,0.013905,9981.150000,1.000000
0.100000,3.284946,7.055432,9.519239,12.374368,14.638029,20.666723,25.998454,28.207018,33.373642,-0.921188,-0.498748,-0.223607,-0.096499,0.000000,0.123460,0.244363,0.479217,0.844045,2.575149,0.000000,0.043847,0.115087,0.195434,0.357771,0.717728,1.009643,1.161265,1.380075,6.311910,0.986711,0.997870,0.999020,0.999471,0.999736,0.999867,0.999962,0.999993,1.000000,1.000000,14.852515,13.765099,33.373642,10.201075,-0.021509,-0.020816,0.514779,2.575149,-2.998363,2.998363,0.727285,0.509456,-0.554441,0.768292,0.673458,6.311910,0.811833,0.993122,0.992757,0.581238,0.029390,0.046847,0.003373,7708.455498,9.350000,28.983957,28.877005,1.390374,7.000000,28.000000,0.000000,49.000000,1.750000,0.003632,0.000000,0.049911,3640.700000,1.000000
0.000000,0.000000,0.000000,0.141421,1.218604,3.438313,4.790089,7.102253,10.119486,13.815933,-0.911448,-0.242658,-0.100000,0.000000,0.000000,0.000000,0.099991,0.233508,0.913988,2.626652,0.000000,0.000000,0.000000,0.000000,0.035979,0.120032,0.273849,0.776888,1.192175,4.716909,0.975763,0.996377,0.998676,0.999638,0.999931,0.999998,1.000000,1.000000,1.000000,1.000000,5.062340,3.331347,13.815933,3.962107,-0.000930,-0.000681,0.390979,2.626652,-2.407503,2.626652,0.627624,0.552724,-0.516835,0.627142,0.355088,4.716909,0.614689,0.987971,0.982478,0.514496,0.047899,0.052973,0.015816,3098.152263,15.516667,21.138561,22.685285,0.322234,5.000000,84.000000,11.000000,341.000000,4.059524,0.027113,0.003551,0.090226,1714.870000,1.000000
0.000000,0.000000,0.141421,1.140175,3.541841,6.920260,10.512088,12.907362,14.134106,17.900279,-1.187674,-0.637957,-0.141421,-0.029735,0.000000,0.023171,0.141421,0.641270,1.156603,2.935705,0.000000,0.000000,0.000000,0.063246,0.141099,0.314763,0.598178,0.955652,1.404563,8.185655,0.973373,0.993409,0.998037,0.999083,0.999652,0.999889,0.999980,1.000000,1.000000,1.000000,7.275549,5.784658,17.900279,5.918144,-0.032914,-0.027683,0.642854,2.935705,-5.148687,5.148687,0.995831,0.719671,-0.810418,0.711550,0.501009,8.185655,0.816319,0.987353,0.984311,0.514496,0.047669,0.055402,0.009447,2117.184845,6.116667,25.504087,24.686649,0.653951,3.000000,30.000000,2.000000,83.000000,2.766667,0.014170,0.000945,0.081744,1695.500000,1.000000
0.000000,0.000000,0.000000,0.305776,4.501274,6.096547,7.953778,9.902020,13.185586,15.844557,-0.981991,-0.287721,-0.100000,0.000000,0.000000,0.000000,0.120152,0.284424,0.957221,1.761744,0.000000,0.000000,0.000000,0.000000,0.097506,0.290220,0.651106,1.043569,1.281181,7.587974,0.981293,0.996247,0.998567,0.999719,0.999911,1.000000,1.000000,1.000000,1.000000,1.000000,7.469831,4.922427,15.844557,5.062056,-0.016735,-0.012003,0.424406,1.761744,-2.551003,2.551003,0.664900,0.568883,-0.615083,0.841345,0.501779,7.587974,0.800090,0.991749,0.988406,0.707107,0.028798,0.070130,0.014064,1919.746455,6.516667,21.636829,21.176471,1.227621,6.000000,23.000000,5.000000,133.000000,5.782609,0.011981,0.002605,0.058824,1182.630000,1.000000
0.000000,0.000000,0.000000,0.000000,0.141421,2.202272,5.850210,8.118491,9.512623,12.639620,-1.032474,-0.223607,-0.095592,0.000000,0.000000,0.000000,0.001865,0.141421,0.993785,3.373799,0.000000,0.000000,0.000000,0.000000,0.000000,0.063246,0.226300,0.582746,1.092457,4.308488,0.978317,0.997079,0.999037,0.999722,0.999977,1.000000,1.000000,1.000000,1.000000,1.000000,5.609569,3.154317,12.639620,4.008042,-0.018532,-0.011932,0.411280,3.373799,-3.364153,3.373799,0.727030,0.659227,-0.620648,0.704255,0.330153,4.308488,0.648965,0.987718,0.980342,0.514496,0.050476,0.044410,0.013972,2075.540571,10.983333,18.118361,20.394537,0.728376,8.000000,67.000000,9.000000,312.000000,4.656716,0.032281,0.004336,0.101669,1480.700000,1.000000
0.000000,0.100000,2.270000,4.677282,7.361043,8.681590,9.889894,13.589842,14.601984,15.859697,-1.113554,-0.753476,-0.200000,-0.100000,0.000000,0.047122,0.107102,0.411438,1.100000,2.462779,0.000000,0.000000,0.015024,0.128248,0.293514,0.466332,0.674480,0.895734,1.290506,4.063947,0.965609,0.995935,0.997778,0.999017,0.999766,0.999948,0.999997,1.000000,1.000000,1.000000,8.204394,6.895182,15.859697,5.423979,-0.067930,-0.063571,0.569043,2.462779,-3.728997,3.728997,0.830287,0.569417,-0.642928,0.692643,0.507444,4.063947,0.650224,0.988869,0.986236,0.503871,0.041285,0.092896,0.013114,1296.294195,3.150000,26.349206,29.206349,0.634921,2.000000,19.000000,0.000000,35.000000,1.842105,0.014657,0.000000,0.100529,740.440000,1.000000
0.000000,0.141421,0.839511,2.915476,5.238270,8.646965,10.547734,12.495199,13.868485,17.535393,-1.170269,-0.820778,-0.204143,-0.099945,0.000000,0.099563,0.245428,0.802258,1.159636,6.115231,0.000000,0.000000,0.049747,0.113827,0.229742,0.420940,0.812950,1.085089,1.535973,7.599776,0.958573,0.990212,0.996691,0.998415,0.999168,0.999694,0.999896,0.999988,1.000000,1.000000,7.166195,6.225310,17.535393,5.593048,-0.004723,-0.004332,0.691617,6.115231,-3.668230,6.115231,1.010963,0.742108,-0.766372,0.761584,0.585939,7.599776,0.823258,0.981788,0.979224,0.519947,0.058830,0.063521,0.010112,3461.272224,9.283333,27.684022,27.145422,0.538600,4.000000,49.000000,0.000000,90.000000,1.836735,0.014157,0.000000,0.087971,2740.240000,1.000000
0.000000,0.141421,3.500868,4.843441,6.754258,7.991402,9.098241,11.612143,13.328401,15.849290,-1.087642,-0.752691,-0.223607,-0.041672,0.000000,0.100000,0.216311,0.635935,1.058362,2.459077,0.000000,0.000000,0.074508,0.192864,0.304116,0.475194,0.638128,0.892606,1.146344,4.904283,0.955611,0.992734,0.997865,0.999174,0.999689,0.999897,0.999966,0.999996,1.000000,1.000000,7.684481,6.428652,15.849290,4.733446,-0.011437,-0.010320,0.582253,2.459077,-2.483544,2.483544,0.793813,0.595182,-0.702309,0.639027,0.494248,4.904283,0.625098,0.987912,0.986340,0.707107,0.034783,0.075397,0.011500,1652.163495,4.300000,28.604651,25.116279,0.697674,3.000000,17.000000,0.000000,44.000000,2.588235,0.010290,0.000000,0.065891,1213.910000,1.000000
0.000000,0.000000,0.100000,0.164853,1.104536,4.698935,6.702238,7.933131,8.738964,11.230761,-0.866752,-0.396601,-0.141421,-0.100000,0.000000,0.000000,0.100000,0.377388,0.852888,2.468738,0.000000,0.000000,0.000000,0.000000,0.057796,0.230297,0.540464,0.822814,1.187124,4.414271,0.961465,0.989949,0.993381,0.997247,0.998842,0.999665,0.999924,1.000000,1.000000,1.000000,4.833264,3.528079,11.230761,3.857882,-0.021641,-0.018615,0.447966,2.468738,-2.486912,2.486912,0.685033,0.527743,-0.514547,0.719204,0.417504,4.414271,0.669155,0.988417,0.986289,0.769289,0.027246,0.047414,0.013155,836.154613,3.966667,24.201681,26.974790,0.756303,3.000000,35.000000,0.000000,72.000000,2.057143,0.041858,0.000000,0.147059,551.180000,1.000000
