Probability,Residual,Order,class,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77
0.316534,116.149567,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0184,,,,,,,,,,,28200,,
0.284265,104.363045,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,0.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.288027,104.159477,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.298176,100.099693,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.273660,99.142807,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989,,,0.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.290764,95.385368,3,7,,,,3.7e-005,5.1e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.287343,93.657822,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.244356,92.828835,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.974,0.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.289738,91.294106,3,7,,,3.1e-005,3.7e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.239567,90.732338,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.974,,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.253250,89.524414,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998,,,,,,,,,,,,,,,,,,,,,,,,,,,73100,,,,,,,,,,,,,,
0.312885,88.949783,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2e-005,7.4e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.302052,88.891884,3,7,,,,,,,,0.000124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73100,,,,,,,,,,,,,,
0.296123,88.745071,3,7,,,,,,,,,0.000153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73100,,,,,,,,,,,,,,
0.321665,88.664429,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565000,,,
0.276511,88.651573,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.278221,88.615738,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4e-005,,,,,,,,,,,,,,,,,,,,,73100,,,,,,,,,,,,,,
0.276625,88.610069,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,73100,,,,,,,,,,,,,,
0.312429,88.558662,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565000,,,
0.268415,88.529999,3,7,,,,,5.1e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73100,,,,,,,,,,,,,,
0.290764,88.493279,3,7,,,3.1e-005,,5.1e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.285633,88.404762,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2e-005,,,,,,,,,,,,,,,,,,,,,,73100,,,,,,,,,,,,,,
0.285291,88.061073,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73100,,,,,,,,,,,565000,,,
0.253364,88.033005,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73100,,,,,,,,,,,,,,
0.277309,87.877541,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0184,,,,,,,,,,,,,
0.347662,87.763443,3,7,,,,,,,,0.000124,0.000153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.303421,87.248825,3,7,,,,,,,0.000106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73100,,,,,,,,,,,,,,
0.271836,86.913254,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28200,,
0.257811,86.845520,3,7,,,,3.7e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73100,,,,,,,,,,,,,,
0.357583,86.604370,3,7,,,,,,,0.000106,0.000124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
