Probability,Conditional Probability,Weight Of Evidence,Order,class,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77
0.002166,1.000000,1000000.000000,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11800,,,
0.000228,1.000000,1000000.000000,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73100,,,,,,,,,,,3080,,,
0.000114,1.000000,1000000.000000,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383,,38300,,,,,
0.022235,0.955882,3.434416,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0184,,,,,,768,,,,,,,
0.024287,0.950893,3.322038,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0184,13,,,,,,,,,,,,
0.024287,0.950893,3.322038,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0184,,,,,,,,772,,,,,
0.122805,0.944737,3.197441,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,7.4e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.070924,0.942424,3.153995,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9e-005,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,
0.127480,0.941870,3.143831,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,8.2e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.124629,0.941430,3.135815,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565000,,,
0.126340,0.941376,3.134847,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565000,,,
0.120410,0.940338,3.116192,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,7.4e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.093615,0.939359,3.098873,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.974,,,,,,,,,,,,3.9e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.125656,0.937872,3.073064,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,8.2e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.133865,0.936951,3.057366,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,73100,,,,,,,,,,,,,,
0.005245,0.836364,3.029153,2,2,,,,,,,0.000513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.122691,0.934839,3.022159,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989,,,,,,,,,,,3.9e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.110148,0.933333,2.997699,2,7,,,3.1e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.006157,0.830769,2.988825,2,2,,,,,,,0.000513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565000,,,
0.138883,0.932619,2.986270,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,7.2e-005,,,,,,,,,,,,,,,,,,,,,,,,,
0.130331,0.932300,2.981212,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,3.9e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.146066,0.931636,2.970743,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,0.000101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.108666,0.931574,2.969761,2,7,,,,3.7e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.139453,0.930038,2.945915,2,7,,,,,,,,,0.000153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.143558,0.929838,2.942837,2,7,,,,,,,,0.000124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.144812,0.929042,2.930703,2,7,,,,,,,0.000106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.147777,0.929032,2.930559,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,
0.117104,0.928571,2.923591,2,7,,,,,5.1e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.140707,0.928518,2.922781,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28200,,
0.098290,0.927879,2.913204,2,7,,,,,,,,,,,39.7,,,,,,,,,,,,,,,,,,,,,,,,,0.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
