sepal_len,sepal_wid,petal_len,petal_wid,class
5.5,4.4,1.9,0.6,Iris-setosa
5.5,3.0,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,2.9,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,3.0,1.9,0.6,Iris-setosa
5.5,3.0,1.9,0.6,Iris-setosa
6.2,4.4,1.9,0.6,Iris-setosa
6.2,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
6.2,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,3.0,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,3.0,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,2.9,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,3.0,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
5.5,4.4,1.9,0.6,Iris-setosa
